0,CDI-3,MAT109,CCC501,INF201,MDE209
1,DER208,COM406,ARQ412,CEHG-10,
2,MAT205,ARQ427,REL401,SEL904,
3,PSE308,DER306,BIO203,PSE312,
4,MDE102,DER422,LCP208,TEL408,COM213
5,DER311,CON312,CIV401,PSE203,IND418
6,MAT107,CIV305,NUE102,PSE203,
7,ARQ592,ARQ412,MAT203,PSE106,MEC400
8,CPSS-02,REH302,,,
9,ECO201,IND418,NUE101,,
10,LCI501,REL305,MAT105,,
11,CIV103,TLL306,MAT301,SEL402,MDE402
12,FIL101,PSE315,MDE215,,
13,SEL407,BMD403,MAT303,COM103,MDE308
14,MAT109,NADI 4,,,
15,DER218,ARQ323,CGTH-05,,
16,CCC205,MDE309,MDE207,,
17,COM426,ING116,ARQ593,ING107,SEL301
18,DGR403,DER415,CIV409,CCC407,PSE491
19,LCI304,CDEL-03,SEL902,,
20,CIV506,DER202,,,
21,IND419,CIV310,POR104,MAT107,ING105
22,FRA104,CIV413,PSE208,ADM407,EMP401
23,CIV102,ARQ301,LCC104,CFP-02,
24,MAN103,DCD101,ADM407,,
25,CICA-06,NADI 8,,,
26,ADM404,MER205,DGR591,,
27,CIV501,BIO203,CDEL-02,CIV305,
28,REL491,CCC405,IND404,DGR591,
29,DGR304,MER203,DER111,MAT109,ITA104
30,MDE311,IND405,MDE101,,
31,ADM105,TEL902,MAT304,,
32,REL104,DER103,ITA103,,
33,DER303,CPSS-02,MAN104,,
34,CSI-01,NUE102,TUR408,MER204,PSE207
35,PSE106,COM208,REL103,,
36,MDE206,COM594,,,
37,IND502,LCC104,,,
38,IND502,DEP109,MEC302,DER404,
39,CGTH-05,MDE304,,,
40,DER207,MER205,COM409,,
41,COM415,MEC309,CDA-03,,
42,COM309,MAN104,,,
43,IND413,MAT203,PSE203,,
44,DER425,MDE303,DER214,DER105,
45,COM104,DCD301,CIV103,CON210,MEC101
46,MER409,ARQ335,,,
47,CIEC-08,MDE307,CDA-04,BIO202,
48,DEP107,BIO201,TEL408,ECO301,
49,CDA-03,REL302,IND404,ARQ100,FIN305
50,ARQ412,PSE109,,,
51,MER401,COM306,MDE212,MAT301,
52,MER407,ADM404,ARQ323,IND307,TLL314
53,CIV103,TEL402,BMD408,HIS101,
54,REL307,COM208,,,
55,SEL902,DGR405,EMP401,,
56,CIV314,DER410,CIV314,,
57,MDE201,CPO101,,,
58,CEAO-10,MDE105,CIV504,ARQ438,
59,COM310,ECO204,ARQ412,,
60,COM307,MDE203,CON302,,
61,TLL306,QUI101,MEC101,CEOF-07,
62,ADM408,SEL301,ING110,PSE311,IND404
63,CIV491,COM216,MER596,DGR592,CIV312
64,MEC405,COM421,MDE205,PSE308,
65,REL103,SEL902,REH101,PSE109,CIV501
66,PSE213,SEL307,CFP-05,CIV504,
67,TLL311,FIN208,,,
68,MDE202,ARQ335,CIV303,,
69,DER207,BIO202,COM306,CCC305,
70,NUE202,TEL593,ESP101,,
71,NUE208,MEC300,,,
72,DER110,LCC102,LOG403,CDI-2,
73,MER408,COM216,TEL402,MEC590,CPO101
74,SEL306,DEP109,LCP104,BMD402,
75,COM209,CDA-04,FIN414,,
76,FIS205,LCI501,COM316,MER407,
77,MER304,INF405,BIO201,PSE308,
78,INF401,ARQ241,CFP-03,MAT106,
79,FIN408,CPO307,DCD201,CPSS-01,REL104
80,CIV504,REL305,ARQ438,CPSS-01,DCD201
81,MDE302,MDE215,MAT109,CIV311,PSE208
82,CIV103,TUR209,MEC300,,
83,PSE207,LOG301,CIV102,,
84,CICA-07,BMD201,,,
85,MDE402,MDE206,,,
86,MDE207,MER202,IND404,TEL408,
87,NADI 6,LCC101,MER207,COM218,MDE214
88,DER411,CEAO-08,,,
89,PSE301,DCD301,,,
90,FIN302,MDE307,,,
91,TLL308,MAT205,CCC302,CIEC-08,
92,MDE208,CCC406,MDE207,,
93,CDI-2,QUI101,COM423,LCI304,
94,ARQ335,SEL904,CDC-05,MDE202,
95,ARQ342,MAT203,DER320,,
96,ARQ103,ART111,DER211,DGR301,
97,CON312,PSE106,,,
98,ECO401,ADM401,TEL409,MEC590,ARQ222
99,DCD301,DGR591,CIV301,MAT209,
100,CIV304,CCC303,NUE205,REL316,NUE201
